par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,adj_penalties,adj_ob,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,course,country
71.0,7336.0,495.0,182.0,-1.41,0.01,0.02,-0.42,299.2,17.2,0.6586,0.006,0.057,0.022,0.031,41.4,0.32,0.2,0.4,0.0734,0.6786,0.044,0.016,0.57,0.04,0.04,0.091,0.026,0.001,0.007,0.013,Vidanta Vallarta,Mexico
70.0,7335.0,482.0,213.0,1.9,0.17,0.15,-0.17,294.8,19.7,0.6615,-0.015,-0.023,0.01,0.033,43.0,0.51,0.48,0.6,0.0097,0.6078,-0.04,0.035,0.08,0.02,-0.023,-0.05,-0.114,-0.001,-0.029,-0.026,The Los Angeles Country Club (North Course),USA
72.0,7331.0,470.0,189.0,0.4,0.07,0.09,-0.2,290.8,18.9,0.547,-0.002,0.002,-0.03,-0.024,30.5,0.3,0.11,0.47,0.0228,0.5907,-0.039,-0.025,0.26,0.05,-0.004,0.053,-0.047,0.002,0.003,-0.013,TPC San Antonio (Oaks Course),USA
72.0,7327.0,465.0,204.0,0.22,0.15,0.07,-0.28,285.8,18.0,0.6994,0.001,-0.03,-0.002,-0.029,50.3,0.45,0.13,0.3,0.1041,0.6333,-0.02,0.006,0.77,0.22,-0.072,0.067,0.0,0.007,0.006,-0.013,The Concession Golf Club,USA
72.0,7326.0,471.0,184.0,-1.98,0.01,-0.04,-0.4,297.2,19.6,0.6584,-0.005,0.016,0.03,0.046,35.7,0.3,0.27,0.37,0.0095,0.7305,0.003,0.05,0.1,0.03,0.032,0.0,0.01,-0.003,-0.011,-0.005,Detroit Golf Club,USA
71.0,7323.0,468.0,193.0,3.01,0.22,0.19,0.01,276.8,23.7,0.5496,0.001,0.003,-0.058,-0.115,33.0,0.48,0.2,0.49,0.0638,0.5285,-0.061,-0.056,0.41,0.19,0.036,0.017,-0.149,-0.007,-0.006,0.019,Royal Troon,Scotland
71.0,7321.0,467.0,193.0,0.72,0.11,0.11,-0.32,293.5,20.9,0.5246,0.008,-0.041,-0.026,-0.02,27.0,0.42,0.24,0.55,0.0298,0.6343,-0.038,-0.021,0.2,0.11,-0.049,-0.053,-0.159,0.0,0.018,0.012,Royal Portrush Golf Club,Northern Ireland
72.0,7319.0,468.0,192.0,-0.51,0.05,0.04,-0.27,280.5,16.6,0.6321,0.01,0.039,0.015,-0.049,32.9,0.32,0.14,0.36,0.0987,0.6954,0.035,0.004,0.84,0.07,0.034,0.072,0.022,0.006,0.015,0.013,Golf Club of Houston,USA
72.0,7313.0,490.0,188.0,-1.07,0.02,0.02,-0.26,301.2,17.5,0.683,0.014,-0.032,0.003,0.025,39.1,0.51,0.22,0.35,0.092,0.6135,0.002,0.003,0.68,0.19,-0.047,-0.018,-0.066,-0.014,0.044,0.033,Albany GC,Bahamas
72.0,7313.0,467.0,192.0,1.03,0.12,0.16,-0.26,283.7,17.5,0.5997,0.009,-0.074,-0.028,0.006,29.6,0.41,0.4,0.55,0.0196,0.6018,-0.075,0.002,0.26,0.03,-0.018,-0.074,-0.241,0.005,0.034,-0.007,Whistling Straits,USA
72.0,7311.0,470.0,187.0,0.07,0.16,0.05,-0.27,292.2,19.4,0.5903,0.003,-0.052,-0.018,-0.007,32.9,0.45,0.38,0.38,0.0706,0.6304,0.001,-0.029,0.8,0.07,-0.028,-0.069,-0.058,0.0,0.008,0.004,Muirfield Village Golf Club (Workday),USA
71.0,7295.0,466.0,196.0,-2.45,-0.03,-0.06,-0.56,295.0,15.4,0.6041,0.014,0.066,0.067,0.029,35.4,0.36,0.25,0.48,0.0285,0.71,0.068,0.067,0.2,0.02,0.072,0.08,0.02,0.005,0.024,0.02,TPC Craig Ranch,USA
